"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.1","224.0.0.1","IGMPv3","50","Membership Query, general"
"2","3.208975371","192.168.1.65","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"3","5.013473359","192.168.1.65","31.13.72.52","TLSv1.2","97","Application Data"
"4","5.067199700","31.13.72.52","192.168.1.65","TCP","66","443  >  52352 [ACK] Seq=1 Ack=32 Win=650 Len=0 TSval=2273584289 TSecr=1931998916"
"5","5.181445813","31.13.72.52","192.168.1.65","TLSv1.2","104","Application Data"
"6","5.181470059","192.168.1.65","31.13.72.52","TCP","66","52352  >  443 [ACK] Seq=32 Ack=39 Win=3296 Len=0 TSval=1931999084 TSecr=2273584403"
"7","10.120991320","192.168.1.65","5.255.255.88","TCP","66","53790  >  443 [ACK] Seq=1 Ack=1 Win=363 Len=0 TSval=956106432 TSecr=2858074518"
"8","10.164917415","5.255.255.88","192.168.1.65","TCP","66","[TCP ACKed unseen segment] 443  >  53790 [ACK] Seq=1 Ack=2 Win=121 Len=0 TSval=2858085782 TSecr=955935883"
"9","12.168993151","192.168.1.65","74.125.232.239","TCP","66","52038  >  443 [ACK] Seq=1 Ack=1 Win=245 Len=0 TSval=2940400949 TSecr=1613139993"
"10","12.169026436","192.168.1.65","74.125.205.188","TCP","66","43196  >  5228 [ACK] Seq=1 Ack=1 Win=562 Len=0 TSval=40085411 TSecr=53840614"
"11","12.195419062","74.125.232.239","192.168.1.65","TCP","66","[TCP ACKed unseen segment] 443  >  52038 [ACK] Seq=1 Ack=2 Win=276 Len=0 TSval=1613185094 TSecr=2940355845"
"12","12.209804549","74.125.205.188","192.168.1.65","TCP","66","[TCP ACKed unseen segment] 5228  >  43196 [ACK] Seq=1 Ack=2 Win=244 Len=0 TSval=53885670 TSecr=39994090"
"13","17.014234494","192.168.1.65","119.9.25.116","TCP","379","41584  >  2435 [PSH, ACK] Seq=1 Ack=1 Win=270 Len=313 TSval=3917063429 TSecr=40279280"
"14","17.406947928","119.9.25.116","192.168.1.65","TCP","66","2435  >  41584 [ACK] Seq=1 Ack=314 Win=9652 Len=0 TSval=40284280 TSecr=3917063429"
"15","17.703406793","119.9.25.116","192.168.1.65","TCP","219","2435  >  41584 [PSH, ACK] Seq=1 Ack=314 Win=9652 Len=153 TSval=40284354 TSecr=3917063429"
"16","17.711568529","119.9.25.116","192.168.1.65","TCP","171","2435  >  41584 [PSH, ACK] Seq=154 Ack=314 Win=9652 Len=105 TSval=40284356 TSecr=3917063429"
"17","17.711657680","192.168.1.65","119.9.25.116","TCP","66","41584  >  2435 [ACK] Seq=314 Ack=259 Win=279 Len=0 TSval=3917064126 TSecr=40284354"
"18","28.013742568","192.168.1.65","31.13.72.52","TLSv1.2","97","Application Data"
"19","28.013798853","192.168.1.65","119.9.25.116","TCP","235","41584  >  2435 [PSH, ACK] Seq=314 Ack=259 Win=279 Len=169 TSval=3917074428 TSecr=40284354"
"20","28.067451826","31.13.72.52","192.168.1.65","TCP","66","443  >  52352 [ACK] Seq=39 Ack=63 Win=650 Len=0 TSval=2273607289 TSecr=1932021916"
"21","28.181693504","31.13.72.52","192.168.1.65","TLSv1.2","104","Application Data"
"22","28.181732960","192.168.1.65","31.13.72.52","TCP","66","52352  >  443 [ACK] Seq=63 Ack=77 Win=3296 Len=0 TSval=1932022084 TSecr=2273607403"
"23","28.406717455","119.9.25.116","192.168.1.65","TCP","66","2435  >  41584 [ACK] Seq=259 Ack=483 Win=9920 Len=0 TSval=40287030 TSecr=3917074428"
"24","28.478642002","192.168.1.65","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"25","29.321015293","192.168.1.65","192.30.253.124","TCP","66","41976  >  443 [ACK] Seq=1 Ack=1 Win=318 Len=0 TSval=1194983367 TSecr=3634437103"
"26","29.479243083","192.168.1.65","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"27","29.486657176","192.30.253.124","192.168.1.65","TCP","66","[TCP ACKed unseen segment] 443  >  41976 [ACK] Seq=1 Ack=2 Win=31 Len=0 TSval=3634448424 TSecr=1194938087"
"28","30.480199856","192.168.1.65","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"29","31.481248375","192.168.1.65","239.255.255.250","SSDP","209","M-SEARCH * HTTP/1.1 "
"30","32.108925343","31.13.72.52","192.168.1.65","TLSv1.2","164","Application Data"
"31","32.108983959","192.168.1.65","31.13.72.52","TCP","66","52352  >  443 [ACK] Seq=63 Ack=175 Win=3296 Len=0 TSval=1932026011 TSecr=2273611330"
"32","36.745007311","192.168.1.65","173.194.32.205","TCP","66","60098  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=0 TSval=1230354976 TSecr=783567976"
"33","36.782286697","173.194.32.205","192.168.1.65","TCP","66","[TCP ACKed unseen segment] 443  >  60098 [ACK] Seq=1 Ack=2 Win=265 Len=0 TSval=783613032 TSecr=1230263403"
"34","38.040133275","192.30.253.124","192.168.1.65","TLSv1.2","90","[TCP ACKed unseen segment] , Application Data"
"35","38.040325400","192.168.1.65","192.30.253.124","TLSv1.2","94","[TCP Previous segment not captured] , Application Data"
"36","38.203889871","192.30.253.124","192.168.1.65","TCP","66","[TCP ACKed unseen segment] 443  >  41976 [ACK] Seq=25 Ack=30 Win=31 Len=0 TSval=3634450603 TSecr=1194992087"
"37","40.840994040","192.168.1.65","74.125.131.198","TCP","66","51944  >  443 [ACK] Seq=1 Ack=1 Win=296 Len=0 TSval=2779438605 TSecr=1360558364"
"38","40.879946014","74.125.131.198","192.168.1.65","TCP","66","[TCP ACKed unseen segment] 443  >  51944 [ACK] Seq=1 Ack=2 Win=296 Len=0 TSval=1360603676 TSecr=2779347964"
"39","45.139572801","31.13.72.52","192.168.1.65","TLSv1.2","114","Application Data"
"40","45.139621674","192.168.1.65","31.13.72.52","TCP","66","52352  >  443 [ACK] Seq=63 Ack=223 Win=3296 Len=0 TSval=1932039042 TSecr=2273624361"
"41","45.909244994","31.13.72.52","192.168.1.65","TLSv1.2","417","Application Data"
"42","45.909273038","192.168.1.65","31.13.72.52","TCP","66","52352  >  443 [ACK] Seq=63 Ack=574 Win=3296 Len=0 TSval=1932039811 TSecr=2273625130"
"43","45.910118342","31.13.72.52","192.168.1.65","TLSv1.2","621","Application Data"
"44","45.910135191","192.168.1.65","31.13.72.52","TCP","66","52352  >  443 [ACK] Seq=63 Ack=1129 Win=3296 Len=0 TSval=1932039812 TSecr=2273625131"
"45","48.013545521","192.168.1.65","119.9.25.116","TCP","459","41584  >  2435 [PSH, ACK] Seq=483 Ack=259 Win=279 Len=393 TSval=3917094428 TSecr=40287030"
"46","48.406632580","119.9.25.116","192.168.1.65","TCP","66","2435  >  41584 [ACK] Seq=259 Ack=876 Win=10188 Len=0 TSval=40292030 TSecr=3917094428"
"47","48.703596157","119.9.25.116","192.168.1.65","TCP","219","2435  >  41584 [PSH, ACK] Seq=259 Ack=876 Win=10188 Len=153 TSval=40292104 TSecr=3917094428"
